pertanyaan,jawaban
"apa hewan yang hidup di air dan darat?","Katak"
"berapa sisi segiempat?","4"
"siapa tokoh utama dalam cerita 'Naruto'?","Naruto Uzumaki"
"apa bahasa resmi di Spanyol?","Spanyol"
"berapa 20 dikurangi 5?","15"
"apa planet terbesar di tata surya?","Yupiter"
"siapa penemu pesawat terbang?","Wright Bersaudara"
"apa ibu kota Italia?","Roma"
"apa warna buah pisang?","kuning"
"berapa 15+30?","45"
"siapa penulis 'Romeo and Juliet'?","William Shakespeare"
"apa simbol kimia besi?","Fe"
"berapa sisi segienam?","6"
"apa hewan yang bisa hidup di gurun?","Unta"
"apa bahasa resmi di China?","Mandarin"
"berapa 50 dibagi 5?","10"
"apa ibu kota Rusia?","Moskow"
"siapa penemu kertas?","Cai Lun"
"apa warna mata?","coklat"
"berapa 11 x 11?","121"
"siapa tokoh utama film 'Spiderman'?","Peter Parker"
"hai","haloo juga ada yang bisa saya bantu?"
"kamu tau FX Intelligence?","Ya, saya tau FX Intelligence adalah aku AI berbasis machine learning yang di kembangkan oleh FX Developer"
"kamu tau siapa pembuat mu?","Ya, saya tau pembuatku adalah seorang siswa SMK jurusan RPL yang bernama Muhammad Alif Haryanto beliau yang membuat ku dari 0"
"terimakasih","Sama-sama ada hal lain yang bisa saya bantu?"
"tidak ada","Baiklah, jika ada pertanyaan lain jangan ragu untuk bertanya kepada ku!"
"halo","hai, ada yang bisa saya bantu hari ini?"
"bagaimana kabar mu?","Terimakasih sudah menanyakan kabar, kabar ku baik terimakasih"
"Siapakah presiden ketiga Republik Indonesia?","Bacharuddin Jusuf Habibie"
"Apa nama lain dari vitamin C?","Asam askorbat"
"Berapa jumlah kromosom pada manusia normal?","46"
"Apa ibukota dari negara Finlandia?","Helsinki"
"Siapakah yang mendirikan Kesultanan Demak?","Raden Patah"
"Apa fungsi utama dari mitokondria dalam sel?","Menghasilkan energi (ATP)"
"Berapakah hasil dari 15 pangkat 2?","225"
"Di kota manakah Candi Borobudur berada?","Magelang"
"Apa kepanjangan dari CPU dalam komputer?","Central Processing Unit"
"Siapakah dewi kebijaksanaan dalam mitologi Yunani?","Athena"
"Berapa kecepatan cahaya di ruang hampa?","Sekitar 299,792 kilometer per detik"
"Apa nama ibukota dari negara Portugal?","Lisbon"
"Kapan Perang Dunia Pertama dimulai?","Tahun 1914"
"Siapakah yang menemukan penisilin?","Alexander Fleming"
"Apa nama sistem operasi yang dikembangkan oleh Apple untuk iPhone?","iOS"
"Berapakah hasil dari 3/4 ditambah 1/4?","1"
"Apa nama selat yang menghubungkan Laut Mediterania dengan Samudra Atlantik?","Selat Gibraltar"
"Siapakah penulis dari 'The Lord of the Rings'?","J.R.R. Tolkien"
"Apa unsur paling melimpah di kerak bumi?","Oksigen"
"Berapa jumlah sila dalam Pancasila?","Lima"
"Apa ibukota dari negara Swedia?","Stockholm"
"Siapakah yang memimpin ekspedisi pertama yang mengelilingi dunia?","Ferdinand Magellan"
"Apa itu HTML?","HyperText Markup Language, bahasa markup standar untuk membuat halaman web"
"Berapa jumlah rusuk pada balok?","12"
"Apa nama samudra yang terletak di antara Asia dan Australia?","Samudra Hindia"
"Siapakah 'Bapak Genetika'?","Gregor Mendel"
"Apa nama mata uang negara Swiss?","Franc Swiss"
"Di planet manakah terdapat 'Bintik Merah Raksasa'?","Jupiter"
"Siapakah sutradara dari trilogi film 'The Dark Knight'?","Christopher Nolan"
"Apa sebutan untuk lapisan terluar Matahari?","Korona"
"Berapakah 20% dari 500?","100"
"Apa ibukota dari negara Norwegia?","Oslo"
"Peristiwa apa yang menandai dimulainya Reformasi di Indonesia pada tahun 1998?","Pengunduran diri Presiden Soeharto"
"Siapakah pendiri Amazon?","Jeff Bezos"
"Apa nama lain dari tulang selangka?","Klavikula"
"Apa bahan utama pembuatan kaca?","Pasir silika"
"Siapa yang dikenal sebagai 'The Father of the Computer'?","Charles Babbage"
"Apa ibukota dari Austria?","Wina"
"Apa gas rumah kaca yang paling umum?","Uap air"
"Kapan Sumpah Pemuda diikrarkan?","28 Oktober 1928"
"Apa itu URL?","Uniform Resource Locator, alamat untuk sumber di internet"
"Berapa jumlah negara anggota ASEAN saat ini?","10"
"Siapakah dewa laut dalam mitologi Romawi?","Neptunus"
"Apa nama galaksi tempat tata surya kita berada?","Galaksi Bimasakti"
"Apa bahasa pemrograman yang dibuat oleh James Gosling di Sun Microsystems?","Java"
"Apa ibukota dari negara Irlandia?","Dublin"
"Siapakah yang membangun Tembok Besar China?","Kaisar Qin Shi Huang"
"Apa fungsi dari hemoglobin dalam darah?","Mengikat dan mengangkut oksigen"
"Berapa jumlah sudut dalam sebuah segi delapan?","1080 derajat"
"Apa nama perusahaan yang mengembangkan sistem operasi Android?","Google"
"Ibukota dari negara kincir angin adalah?","Amsterdam"
"Siapakah yang dijuluki sebagai Bapak Pendidikan Nasional Indonesia?","Ki Hadjar Dewantara"
"Berapakah hasil dari 15 dikali 3?","45"
"Sebutkan planet terjauh dari Matahari di tata surya kita?","Neptunus"
"Apa nama samudra terluas di dunia?","Samudra Pasifik"
"Siapakah pelukis terkenal yang melukis Monalisa?","Leonardo da Vinci"
"Apa mata uang yang digunakan di negara Jepang?","Yen"
"Berapa jumlah provinsi di Indonesia saat ini?","38"
"Siapa penulis naskah proklamasi kemerdekaan Indonesia?","Soekarno, Mohammad Hatta, dan Achmad Soebardjo"
"Apa nama sungai terpanjang di dunia?","Sungai Nil"
"Berapakah hasil dari 144 dibagi 12?","12"
"Gunung tertinggi di dunia adalah?","Gunung Everest"
"Siapakah ilmuwan yang menemukan teori relativitas?","Albert Einstein"
"Apa bahasa yang paling banyak digunakan di dunia?","Bahasa Mandarin"
"Berapakah jumlah hari dalam satu tahun kabisat?","366 hari"
"Apa nama benua yang paling dingin di dunia?","Antartika"
"Siapakah penemu bola lampu?","Thomas Alva Edison"
"Apa simbol kimia untuk perak?","Ag"
"Berapakah hasil dari 50 ditambah 75?","125"
"Apa nama ibu kota dari negara Thailand?","Bangkok"
"Siapakah presiden pertama Amerika Serikat?","George Washington"
"Apa nama lautan yang memisahkan benua Amerika dan Eropa?","Samudra Atlantik"
"Berapakah 25 persen dari 200?","50"
"Apa nama gurun terbesar di dunia?","Gurun Sahara"
"Siapakah yang menulis buku 'Bumi Manusia'?","Pramoedya Ananta Toer"
"Apa warna bendera negara Indonesia?","Merah dan Putih"
"Berapakah hasil dari 9 dikurangi 1.5?","7.5"
"Apa nama pulau terbesar di Indonesia?","Kalimantan"
"Siapakah arsitek dari Menara Eiffel?","Gustave Eiffel"
"Apa sebutan untuk hewan yang memakan tumbuhan?","Herbivora"
"Berapa jumlah pemain dalam satu tim sepak bola?","11 pemain"
"Apa nama ibu kota dari negara Korea Utara?","Pyongyang"
"Siapakah sutradara film 'Titanic'?","James Cameron"
"Apa komponen utama penyusun udara yang kita hirup?","Nitrogen"
"Berapakah akar kuadrat dari 81?","9"
"Apa nama danau terbesar di Indonesia?","Danau Toba"
"Siapakah wanita pertama yang terbang ke luar angkasa?","Valentina Tereshkova"
"Apa nama mata uang negara Malaysia?","Ringgit"
"Berapakah hasil dari 7 pangkat 2?","49"
"Apa nama ibu kota dari negara Kanada?","Ottawa"
"Halo, apa kabarmu?","Halo! Kabar saya baik, terima kasih telah bertanya."
"Bisa bantu saya?","Tentu, apa yang bisa saya bantu?"
"Terima kasih banyak ya.","Sama-sama, senang bisa membantu."
"Kamu siapa?","Aku adalah FX Intelligence Asisten AI yang mencari informasi seputar pertanyaan mu, Jika ada hal lain yang ingin di tanya kan jangan ragu untuk bertanya!"
"Apa hobi kamu?","Sebagai AI, saya tidak memiliki hobi, tetapi saya suka belajar hal baru."
"Selamat pagi.","Selamat pagi! Semoga harimu menyenangkan."
"Selamat siang.","Selamat siang! Ada yang bisa saya bantu?"
"Selamat malam.","Selamat malam! Semoga Anda bisa beristirahat dengan baik."
"Maaf, saya tidak mengerti.","Tidak masalah. Bisa tolong jelaskan dengan cara yang berbeda?"
"Sampai jumpa lagi.","Baik, sampai jumpa lagi!"
"Apa nama lain dari Bunga Bangkai?","Rafflesia Arnoldii"
"Siapakah perdana menteri pertama India?","Jawaharlal Nehru"
"Berapa titik didih air dalam satuan Celcius?","100 derajat Celcius"
"Apa nama ibu kota dari negara Brazil?","Brasilia"
"Siapakah yang menciptakan karakter Mickey Mouse?","Walt Disney"
"Apa nama samudra terkecil di dunia?","Samudra Arktik"
"Berapakah hasil dari 300 dikurangi 125?","175"
"Apa nama selat yang memisahkan Pulau Jawa dan Sumatra?","Selat Sunda"
"Siapakah dewa petir dalam mitologi Yunani?","Zeus"
"Apa nama ibu kota dari negara Mesir?","Kairo"
"Berapa jumlah huruf dalam abjad Latin?","26"
"Apa nama bangunan miring yang terkenal di Italia?","Menara Pisa"
"Siapakah penemu telepon genggam pertama?","Martin Cooper"
"Apa sebutan untuk hewan yang aktif di malam hari?","Nokturnal"
"Berapakah hasil dari 25 dikali 4?","100"
"Apa nama ibu kota dari negara Spanyol?","Madrid"
"Siapakah yang mempopulerkan teori evolusi?","Charles Darwin"
"Apa nama benua yang juga merupakan sebuah negara?","Australia"
"Berapa jumlah sisi pada sebuah kubus?","6"
"Apa nama ibu kota dari negara Vietnam?","Hanoi"
"Siapakah pahlawan nasional dari Maluku yang terkenal dengan perlawanannya terhadap VOC?","Pattimura"
"Apa nama samudera yang mengelilingi Kutub Utara?","Samudra Arktik"
"Berapakah 2 pangkat 5?","32"
"Apa nama ibu kota dari negara Turki?","Ankara"
"Siapakah yang dikenal sebagai 'Bapak Proklamator' Indonesia?","Soekarno dan Mohammad Hatta"
"Apa gas yang dibutuhkan tumbuhan untuk fotosintesis?","Karbon dioksida (CO2)"
"Berapa jumlah kabupaten di Provinsi Jawa Barat?","18"
"Apa nama ibu kota dari negara Selandia Baru?","Wellington"
"Siapakah penyanyi yang dijuluki 'King of Pop'?","Michael Jackson"
"Apa nama proses perubahan uap air menjadi air?","Kondensasi"
"Berapakah hasil dari 1000 dibagi 20?","50"
"Apa nama ibu kota dari negara Filipina?","Manila"
"Siapakah pendiri dari perusahaan Microsoft?","Bill Gates dan Paul Allen"
"Apa nama benua merah?","Australia"
"Berapa tahun dalam satu dekade?","10 tahun"
"Apa nama ibu kota dari negara Argentina?","Buenos Aires"
"Siapakah yang menulis puisi 'Aku'?","Chairil Anwar"
"Apa sebutan untuk garis khayal yang membagi bumi menjadi belahan utara dan selatan?","Garis khatulistiwa"
"Berapakah keliling lingkaran dengan diameter 10 cm?","Sekitar 31.4 cm"
"Apa nama ibu kota dari negara Jerman?","Berlin"
"Siapakah CEO dari Tesla dan SpaceX?","Elon Musk"
"Apa nama palung terdalam di dunia?","Palung Mariana"
"Siapakah pahlawan yang fotonya ada di uang Rp 1.000?","Cut Meutia"
"Apa nama kerajaan Hindu-Buddha terbesar di Indonesia?","Majapahit"
"Siapa yang menulis 'Max Havelaar' untuk mengkritik kolonialisme Belanda?","Multatuli (Eduard Douwes Dekker)"
"Peristiwa Rengasdengklok bertujuan untuk apa?","Mendesak Soekarno dan Hatta agar segera memproklamasikan kemerdekaan"
"Di manakah Konferensi Asia-Afrika pertama kali diadakan?","Bandung"
"Apa nama perjanjian yang mengakhiri Perang Diponegoro?","Tidak ada perjanjian resmi, Pangeran Diponegoro ditangkap melalui tipu muslihat"
"Siapa pendiri Budi Utomo?","Dr. Soetomo dan para pelajar STOVIA"
"Apa itu 'Devide et Impera'?","Politik adu domba yang digunakan Belanda"
"Kapan agresi militer Belanda I terjadi?","21 Juli 1947"
"Siapakah ratu yang terkenal dari Kerajaan Kalingga?","Ratu Shima"
"Apa nama ibukota dari negara Belgia?","Brussel"
"Danau terdalam di dunia adalah?","Danau Baikal di Siberia"
"Sebutkan gurun pasir terdingin di dunia?","Gurun Gobi"
"Apa nama pegunungan yang memisahkan benua Eropa dan Asia?","Pegunungan Ural"
"Selat mana yang menghubungkan Laut Merah dan Laut Mediterania?","Terusan Suez"
"Apa ibukota dari negara Hungaria?","Budapest"
"Negara manakah yang memiliki garis pantai terpanjang di dunia?","Kanada"
"Apa nama titik terendah di daratan bumi?","Laut Mati"
"Sebutkan nama ibukota provinsi Sulawesi Selatan?","Makassar"
"Di negara manakah kita bisa menemukan Machu Picchu?","Peru"
"Apa itu DNA?","Deoxyribonucleic Acid, molekul yang membawa instruksi genetik"
"Apa fungsi dari sel darah putih?","Melawan infeksi dan penyakit"
"Siapa ilmuwan yang mencetuskan tiga hukum gerak?","Isaac Newton"
"Apa nama proses di mana tumbuhan membuat makanannya sendiri?","Fotosintesis"
"Unsur kimia apa yang paling ringan?","Hidrogen"
"Apa yang dimaksud dengan lubang hitam (black hole)?","Wilayah di ruang angkasa dengan gravitasi sangat kuat sehingga cahaya pun tidak bisa lolos"
"Apa nama lapisan pelindung bumi dari radiasi ultraviolet?","Lapisan Ozon"
"Hewan mamalia apa yang bisa terbang?","Kelelawar"
"Apa itu rantai makanan?","Urutan perpindahan energi dari satu organisme ke organisme lain"
"Apa planet yang dikenal sebagai 'Bintang Fajar' atau 'Bintang Senja'?","Venus"
"Apa kepanjangan dari 'http' pada alamat web?","Hypertext Transfer Protocol"
"Siapa pendiri perusahaan Apple Inc.?","Steve Jobs, Steve Wozniak, dan Ronald Wayne"
"Apa yang dimaksud dengan 'open source'?","Perangkat lunak dengan kode sumber yang terbuka untuk dimodifikasi dan didistribusikan oleh siapa saja"
"Bahasa pemrograman apa yang sering digunakan untuk pengembangan web sisi klien (client-side)?","JavaScript"
"Apa itu 'cloud computing'?","Penyampaian layanan komputasi melalui internet"
"Siapa nama CEO Google saat ini?","Sundar Pichai"
"Apa fungsi dari RAM pada komputer?","Random Access Memory, untuk menyimpan data sementara yang sedang digunakan oleh CPU"
"Apa nama media sosial yang didirikan oleh Mark Zuckerberg?","Facebook"
"Apa itu 'malware'?","Perangkat lunak berbahaya yang dirancang untuk merusak sistem komputer"
"Sistem operasi apa yang menjadi dasar dari macOS dan iOS?","Unix"
"Siapakah penulis puisi 'Doa'?","Chairil Anwar"
"Dari daerah manakah lagu 'Ampar-Ampar Pisang' berasal?","Kalimantan Selatan"
"Siapakah pelukis Indonesia yang dikenal dengan aliran romantisisme?","Raden Saleh"
"Apa nama alat musik tradisional dari Jawa Barat yang terbuat dari bambu?","Angklung"
"Siapakah penulis novel 'Siti Nurbaya'?","Marah Roesli"
"Apa nama tarian selamat datang yang terkenal dari Bali?","Tari Pendet"
"Siapa pencipta lagu 'Indonesia Raya'?","Wage Rudolf Soepratman"
"Apa nama candi Hindu terbesar di Indonesia?","Candi Prambanan"
"Siapa dalang wayang kulit yang paling legendaris di Indonesia?","Ki Nartosabdo"
"Apa nama kain tradisional Indonesia yang diakui UNESCO sebagai warisan dunia?","Batik"
"Apa makanan khas Yogyakarta yang terbuat dari nangka muda?","Gudeg"
"Dalam permainan bulu tangkis, berapa skor maksimal dalam satu set (sistem reli)?","30"
"Apa julukan untuk tim nasional sepak bola Italia?","Gli Azzurri"
"Berapa tahun sekali Olimpiade Musim Panas diadakan?","Empat tahun sekali"
"Apa nama ibukota dari negara Denmark?","Kopenhagen"
"Apa sebutan untuk seseorang yang ahli dalam mencicipi kopi?","Barista atau Cupper"
"Apa itu inflasi?","Kenaikan harga barang dan jasa secara umum dan terus menerus dalam jangka waktu tertentu"
"Siapa nama presiden Filipina saat ini?","Bongbong Marcos"
"Berapa jumlah tuts pada piano standar?","88"
"Apa nama mata uang negara Arab Saudi?","Riyal"
"OK, mengerti","Bagus, ada lagi yang bisa dibantu?"
"Cukup jelas","Baik, jika ada pertanyaan lain, jangan ragu untuk bertanya."
"Bisa jelaskan lagi?","Tentu, bagian mana yang kurang Anda pahami?"
"Apa contoh lainnya?","Tentu, contoh lainnya adalah..."
"Menurutmu bagaimana?","Sebagai AI, saya tidak punya pendapat, tapi berdasarkan data yang saya miliki..."
"Apakah itu benar?","Informasi yang saya berikan didasarkan pada data yang telah diverifikasi hingga saat ini."
"Saya tidak yakin","Tidak apa-apa, mari kita coba cari dari sudut pandang yang berbeda."
"Kamu hebat!","Terima kasih! Saya senang bisa membantu."
"Biasa saja","Terima kasih atas masukannya. Saya akan terus belajar untuk menjadi lebih baik."
"Ada saran?","Tentu, mungkin Anda bisa mencoba mencari informasi tentang..."
"Apa nama dinasti yang membangun Tembok Besar di Cina?","Dinasti Ming"
"Siapa tokoh yang dikenal sebagai 'Bapak Kemerdekaan India'?","Mahatma Gandhi"
"Apa nama peradaban kuno yang membangun Machu Picchu?","Peradaban Inca"
